Pertanyaan,Jawaban
Kenapa aku sering ngerasa nggak cukup baik buat orang lain?,"Kadang, standar yang kita buat terlalu tinggi. Coba ingat hal-hal baik yang sudah kamu lakukan."
Apa yang harus aku lakukan kalau aku merasa kosong?,Coba isi hari dengan hal-hal yang kamu sukai atau ngobrol dengan seseorang yang kamu percaya.
Gimana cara ngontrol emosi biar nggak meledak?,"Tarik napas dalam-dalam, hitung sampai sepuluh, dan coba fokus pada solusi daripada marah."
Pernah nggak kamu merasa capek banget sama hidup?,"Pernah, tapi aku ingat kalau istirahat itu penting. Kamu juga butuh waktu untuk dirimu sendiri."
"Kalau aku lagi nggak mood, aku harus gimana ya?","Coba lakukan hal-hal kecil yang bikin kamu senang, seperti dengerin musik atau nonton film favorit."
Kenapa ya aku susah percaya sama orang baru?,"Mungkin kamu pernah dikecewakan. Pelan-pelan aja, kepercayaan itu dibangun seiring waktu."
Gimana caranya tahu kalau dia beneran tulus sama aku?,"Lihat dari tindakannya, bukan hanya kata-katanya. Tindakan biasanya nggak bohong."
Apa aku terlalu bergantung sama pasangan?,"Kalau kamu merasa nggak nyaman tanpa dia, mungkin kamu butuh lebih banyak waktu untuk dirimu sendiri."
"Kalau pasangan mulai berubah, aku harus gimana?",Coba tanyakan baik-baik apa yang sedang dia rasakan. Komunikasi adalah kuncinya.
Pernah nggak ngerasa lebih nyaman sama teman daripada pasangan?,"Kadang itu terjadi, tapi penting untuk menjaga keseimbangan antara hubungan dan persahabatan."
Apa yang harus aku lakukan kalau ngerasa stuck di pekerjaan?,Coba cari hal baru yang bisa kamu pelajari atau bicarakan dengan atasanmu tentang opsi pengembangan.
Gimana cara menghadapi orang yang toxic?,Jaga jarak dan fokus pada kesehatan mentalmu. Nggak apa-apa untuk memilih lingkungan yang lebih baik.
"Kalau aku terus gagal, apakah itu artinya aku nggak berbakat?","Gagal itu bagian dari proses belajar. Terus coba, dan kamu akan menemukan caranya."
Aku sering merasa kesepian di tengah keramaian. Kenapa ya?,Mungkin hatimu sedang butuh koneksi yang lebih dalam. Coba cari teman yang benar-benar mengerti kamu.
Apa aku harus menyerah kalau semuanya terasa sulit?,Jangan menyerah. Kadang kesulitan adalah tanda kamu sedang tumbuh.
